"Column1","Column2"
"No country set, change to %1","Land ikke valgt, endre til %1"
"Wrong country set %1, change to %2","Feil land valgt %1, endre til %2"
"Svea checkout is not available for %1, country was changed to %2.","Svea chechout ikke tilgjengelig for 1%, land endret til %2"
"Checkout was reloaded.","Chaeckout ble lastet på nytt"
"The Svea Checkout is not enabled, please use an alternative checkout method.","Svea Checkout ikke tilgjengelig, velg annen metode"
"The Svea Checkout is NOT available (no allowed country), please use an alternative checkout method.","Svea Checkout ikke tilgjengelig(land ikke tillat), velg annen metode"
"There are no items in your cart.","Ingen varer i handlevognen"
"The cart contains errors.","Feil i handlevogn"
"Subtotal must exceed minimum order amount.","Totalbeløp må overstige minste tillatte ordrebeløp"
"Country is not set.","Land ikke valgt"
"This currency is not available, please use an alternative checkout.","Valgt valuta er ikke tilgjengelig, velg annen metode"
"Currency was changed to %1.","Valuta ble endret til %1"
"Invalid country (%1)","Ugyldig land (%1)"
"Order %1, cannot create customer [%2]: %3","Ordre %1, kunde kan ikke opprettes %2, %3"
"Authorize action is not available.","Authorize action is not available."
"Authorized amount of %1.","Authorized amount of %1."
"Capture action is not available.","Capture action is not available."
"Could not Capture order. %1","Could not Capture order. %1"
"Refund action is not available.","Refund action is not available."
"Could not Refund Invoice. %1","Could not Refund Invoice. %1"
"Void/Cancel action is not available.","Void/Cancel action is not available."
"Could not cancel order. %1","Could not cancel order. %1"
"Detach is not available.","Detach is not available."
"Could not save the push: %1","Could not save the push: %1"
"The push doesn't exist.","The push doesn't exist."
"Empty Cart","Tom handlevogn"
"Cart has errors, cannot checkout.","Feil i handlevogn, kan ikke fortsette"
"You need an svea payment ID to void.","You need an svea payment ID to void."
"Cannot capture online, no invoice set","Cannot capture online, no invoice set"
"Could not load svea order","Kan ikke hente ordre"
"Could not map order row numbers, so we cannot perform this action. Please do it manually","Finner ikke varelinjenummer, kan ikke fullføre handling. Fullfør manuelt"
"You need an svea payment ID to capture.",""
"This delivery is still in progress. Try again soon.","Levering pågår. Prøv igjen snart."
"Found no deliveries to refund on. Please refund offline, and do the rest manually in Svea.","Fant ingen leveranser å tilbakebetale. Refunderer offline, og resten manuelt i Svea."
"Can't refund this invoice. Please refund offline, and do the rest manually in Svea.","Kan ikke tilbakebetale denne fakturaen. Refunderer offline, og resten manuelt i Svea."
"This is a partial credit memo. You have to add an adjustment fee that is the same amount as the svea invoice fee.","Dette er et delvis kreditnota. Du må legge til et justeringsgebyr som er det samme beløpet som svea-fakturaavgiften."
"You need an svea ID and Svea Delivery ID to refund.","Du trenger en svea ID og Svea Delivery ID for å tilbakebetale."
"Shipping Fee (%1)","Fraktkostnad (%1)"
"Discount (%1)","Rabatt (%1)"
"The grand total price does not match the price being sent to Svea. Please contact an admin or use another checkout method.","Den totale prisen samsvarer ikke med prisen som sendes til Svea. Kontakt en administrator eller bruk en annen kassemetode."
"Svea Order ID","Svea Order ID"
"Svea Checkout Order ID","Svea Checkout Order ID"
"Svea Checkout Order ID: %1","Svea Checkout Order ID: %1"
"Order number:","Ordre nummer:"
"#: %1","#: %1"
"Date","Dato"
"Order Details","Ordre detaljer"
"Product","Produkt"
"Discount:","Rabatt:"
"Shipping","Frakt"
"Payment Method:","Betalingsmåte"
"Total:","Total:"
"Continue Shopping","Fortsett å handle"
"Cross-sell products","Kryss salg av produkter"
"Add to Cart","Legg til handlekurv"
"In stock","I varebeholdningen"
"Out of stock","Ikke i vare beholdningen"
"Sign Up for Our Newsletter","Meld deg på vårt nyhetsbrev"
"Checkout","Checkout"
"Sorry, no quotes are available for this order right now.","Beklager, ingen tilbud er tilgjengelig for denne bestillingen akkurat nå."
"Shipping Method","Frakt metode"
"Country","Land"
"Postal code","Postnummer"
"Choose Delivery","Velg leveringsmetode"
"Item","Item"
"Description","Beskrivelse"
"Quantity","Antall"
"Use coupon","Bruk rabatt"
"Do you have a coupon code?","Har du en rabatt kode?"
"Click here to enter code","Klikk her for å legge inn kode"
"Coupon Code","Rabatt kode"
"Enter discount code","Legg inn rabattkode"
"Apply Discount","Bruk rabatt"
"Cancel Coupon","Kanseller kupong"
"Product Name","Produkt navn"
"Price","Pris"
"Qty","Antall"
"Excl. Tax","Eksl moms"
"Incl. Tax","Ink moms"
"Subtotal","Total"
"Remove","Fjern"
"Order Comment (Optionally)","Kommentar"
"Enter a comment for this order","legg til kommentar på ordre"
"Save","Lagre"
"Use a different payment method","Velg annen betalingsmåte"
"Svea Checkout Order ID ","Svea Checkout Order ID "
"Finish purchase","Fullfør kjøpet"
"Submitting order information...","Submitting order information..."
"Are you sure you want to remove this?","Er du sikker på at du ønsker å slette dette?"
"Sorry, something went wrong. Please try again (reload this page)","Noe gikk galt, vennligst forsøkt på nytt(last opp side på nytt)"
"Sorry, something went wrong. Please try again later.","Noe gikk galt, vennligst forsøk på nytt."
"The cart was updated (from another location), reloading the checkout, please wait...","Kassen ble oppdatert(fra annet sted), laster kassen på nytt, vennligst vent"
"The requested changes were not applied. The cart was updated (from another location), please review the cart.","De forespurte endringene ble ikke brukt. Handlekurven ble oppdatert (fra et annet sted), vennligst se over handlekurven."
"We can't update your subscription.","Abonnementet kan ikke oppdateres."
"Coupon code is not valid (or missing)","Rabatt kode er ikke gyldig(eller mangler)"
"Coupon code %1 was applied.","Rabatt kode %1 ble anvendt."
"Coupon code %1 is not valid,","Rabatt kode %1 er ikke gyldig."
"Coupon code was canceled.","Rabatt kode ble sletttet"
"We can't apply your coupon.","Vi kan ikke bruke din rabatt."
"We can't update your Country / postal code.","Vi kan ikke oppdatere din lands/ post nr."
"Order redeived","Ordre mottatt."
"We can't update your comment.","Vi kan ikke opdatere notatet ditt."
"Invalid Quote hash","Invalid Quote hash"
"Found no svea order id.","Fant ikke svea ordre ID."
"The Svea Order ID is invalid.","Sveas ordre ID er ugyldig."
"Found no Svea Order for this session. Please refresh the site or clear your cookies.","Fant ingen Svea ordre for denne øvelsen, vennligst oppdater siden eller tøm informasjonskapslene dine."
"Something went wrong when we tried to retrieve the order from Svea. Please try again or contact an admin.","Noe gikk galt ved henting av odre fra Svea. Vennligst forsøk på nytt eller ta kontakt med en adminisstrator."
"Something went wrong... Contact site admin.","Noe gikk galt.. Kontakt administrator."
"Found no quote object for this Svea order ID.","Fant ingen tilbud for denne Svea ordre ID."
"Please add shipping information.","Vennligst legg til fraktinformasjon."
"The country or postal code doesn't match with the one you entered earlier. Please re-enter the new postal code for the shipping above.","Land - eller postnummer stemmer ikke overens med det du oppga tidligere. Vennligst oppdater postnummeret for forsendelsen ovenfor."
"Please choose a shipping method.","Vennligst velg fraktmetode."
"Could not place the order.","Kunne ikke registrere ordre."
"We can't update shipping method.","Kan ikke oppdatere fraktmetoden."
"Order id missing","Ordre ID mangler."
"An error occurred...","En feil oppsto"
"Cannot update checkout (%1)","Kan ikke oppdatere kassen(%1)"
"Cannot initialize Svea Checkout (%1)","Kan ikke starte Svea Checkcout(%1)"
"Svea Checkout","Svea Checkout"
"Invoice Fee","Fakturagebyr"
"Crosssell products","Krysssalg av tillbehør"
"Date:,Date:","Dato:,. Dato:"
"Total:,Total:","Totalt:, Totalt:"
"You will be redirected to the Svea Checkout page.","Du blir sendt videre til Svea Checkout siden."
"Svea","Svea"
"Connection","Forbindelse"
"Enabled,Enabled","Aktivert:, Aktivert:"
"Testmode","Testmodus"
"Merchant ID","Butikk ID"
"Merchant ID, you will get this from Svea.","Butikk ID, dette får du fra Svea."
"Shared Secret","Hemmelig kode"
"The shared secret, you will get this from Svea.","hemmelig kode, denne får du fra Svea."
"Settings,Settings","Instillinger. Instillinger"
"Default Country","Standard land"
"Only if multiple countries are allowed. If this is invalid, the first allowed country will be used","Bare hvis flere land er tillatt. Hvis dette er ugyldig, blir det første landet benyttet."
"Allowed Payment Countries","Tillatte land betaling"
""Assure that selected countries are in <strong>Allow Countries</strong> list (<em>System &raquo"," Configuration &raquo"," General &raquo"," General</em>)"",""Forsikre deg om at valgt land er i <strong>Allow Countries</strong> list (<em>System &raquo"," Configuration &raquo"," General &raquo"," General</em>)""
"Capture/Refund payment","Belaste/returnere betaling"
"If NO, no payment operations will be done (Capture/Refund/Void) on Invoice/Creditmemo/Order","Hvis NEI, blir betaling ikke utført( belaste/ returnere/ tømme) på faktura/ kreditnota/ ordre."
"Can capture partial","Kan belaste deler"
"If NO, you cannot make partial invoices/refunds","Hvis NEI, kan du ikke skape delvis faktura/refusjon"
"Subscribe Newsletter Checked by default","Abonnere på nyhetsbrev sjekket av som standard"
"Register Guest Customers","Registrere gjest kunde"
"Url for Terms page","Url for vilkårsside"
"Replace checkout url with Svea Checkout","Erstatt kassen med Svea Chekcout"
"Layout options","Oppsett alternativer"
"Display Newsletter checkbox","Vis rute for avkryssing for nyhetsbrev"
"Display Discount Form","Vis skjema for rabatt"
"Display Comment","Vis kommentarfelt"
"Display link to a different payment method","Vis link til annen betalingsmetode"
"Display Additional block","Display Additional block"
"Additional block Content","Additional block Content"
"Crosssell Products","Kryssalg produkter"
"Display Crosssell Products","Vis kryssalg produkter"
"Number of Products","Antall produkter"
"New Order Status","Ny ordrestatus"
"Sort Order","Sortere ordre"
"Title","Tittel"
"Show More","Vis mer"
"Show Less","Vis mindre"